variable,module,kind,assumption_level,formula_status,validation_status,hard_low,hard_high,expected_low,expected_high,range_note,review_priority,parameterizable_in_future,interpretation
mask_leak_fraction,Step4 integrated airway/pharmacology/monitoring modules,fraction,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for mask_leak_fraction; directionality is scenario-dependent and not externally validated.
mouth_leak_fraction,Step4 integrated airway/pharmacology/monitoring modules,fraction,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for mouth_leak_fraction; directionality is scenario-dependent and not externally validated.
sedative_drive_depression_signal,Step4 integrated airway/pharmacology/monitoring modules,signal,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for sedative_drive_depression_signal; directionality is scenario-dependent and not externally validated.
spontaneous_airway_mode,Step4 integrated airway/pharmacology/monitoring modules,categorical_state,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,,,,,see numeric_range when available; categorical states are string labels,standard,False,Internal PDT audit/monitoring variable for spontaneous_airway_mode; directionality is scenario-dependent and not externally validated.
steroid_delayed_effect_signal,Step4 integrated airway/pharmacology/monitoring modules,signal,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for steroid_delayed_effect_signal; directionality is scenario-dependent and not externally validated.
tube_VdVt_add,Step4 integrated airway/pharmacology/monitoring modules,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,0.5,additional apparatus/tube dead-space fraction contribution,standard,False,Internal PDT audit/monitoring variable for tube_VdVt_add; directionality is scenario-dependent and not externally validated.
tube_obstruction_score,Step4 integrated airway/pharmacology/monitoring modules,score,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for tube_obstruction_score; directionality is scenario-dependent and not externally validated.
upper_airway_obstruction_score,Step4 integrated airway/pharmacology/monitoring modules,score,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for upper_airway_obstruction_score; directionality is scenario-dependent and not externally validated.
vasoactive_CO_mod,Step4 integrated airway/pharmacology/monitoring modules,mod,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.1,5.0,0.5,3.0,"vasoactive audit modifier, broad safety range",standard,False,Internal PDT audit/monitoring variable for vasoactive_CO_mod; directionality is scenario-dependent and not externally validated.
vasoactive_SVR_mod,Step4 integrated airway/pharmacology/monitoring modules,mod,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.1,5.0,0.5,3.0,"vasoactive audit modifier, broad safety range",standard,False,Internal PDT audit/monitoring variable for vasoactive_SVR_mod; directionality is scenario-dependent and not externally validated.
